run_name  , processor, model , parameters, status , generation_count, latency, total_tokens, prompt_tokens, completion_tokens, parameters.1, timestamp , test_date, category                  , trace_id, batch_id
c39e_tpusg, tpusg    , phi4  , True      , success,                1,   19.99,         2750,          1806,               944, True        , 1754397971,      8.07, phi4_tpusg_P              , c39e4f3c, phi4_3b43_tpusg
7cea_tpusg, tpusg    , phi4  , True      , success,                1,   20.01,         2750,          1806,               944, True        , 1754398050,      8.07, phi4_tpusg_P              , 7cea88b2, phi4_3b43_tpusg
c9cd_tpusg, tpusg    , phi4  , True      , success,                1,   20.05,         2750,          1806,               944, True        , 1754398129,      8.07, phi4_tpusg_P              , c9cd1c2d, phi4_3b43_tpusg
b149_tpusg, tpusg    , phi4  , True      , success,                1,   19.68,         2732,          1806,               926, True        , 1754398208,      8.07, phi4_tpusg_P              , b14929b5, phi4_3b43_tpusg
21e6_tpusg, tpusg    , phi4  , True      , success,                1,   20.32,         2756,          1806,               950, True        , 1754398287,      8.07, phi4_tpusg_P              , 21e64a85, phi4_3b43_tpusg
3df7_tpusg, tpusg    , phi4  , True      , success,                1,   21.1 ,         2750,          1806,               944, True        , 1754398366,      8.07, phi4_tpusg_P              , 3df7abdb, phi4_3b43_tpusg
39d9_tpusg, tpusg    , phi4  , True      , success,                1,   20.32,         2756,          1806,               950, True        , 1754398444,      8.07, phi4_tpusg_P              , 39d9844a, phi4_3b43_tpusg
773a_tpusg, tpusg    , phi4  , True      , success,                1,   20.18,         2750,          1806,               944, True        , 1754398524,      8.07, phi4_tpusg_P              , 773abb8f, phi4_3b43_tpusg
729f_tpusg, tpusg    , phi4  , True      , success,                1,   19.97,         2750,          1806,               944, True        , 1754398603,      8.07, phi4_tpusg_P              , 729f8a64, phi4_3b43_tpusg
e677_tpusg, tpusg    , phi4  , True      , success,                1,   20.22,         2750,          1806,               944, True        , 1754398682,      8.07, phi4_tpusg_P              , e677c801, phi4_3b43_tpusg
059b_tpusg, tpusg    , phi4  , True      , success,                1,   20.03,         2750,          1806,               944, True        , 1754398762,      8.07, phi4_tpusg_P              , 059b057c, phi4_3b43_tpusg
a4d3_tpusg, tpusg    , phi4  , True      , success,                1,   20.02,         2750,          1806,               944, True        , 1754398841,      8.07, phi4_tpusg_P              , a4d3959d, phi4_3b43_tpusg
4298_tpusg, tpusg    , phi4  , True      , success,                1,   21.16,         2750,          1806,               944, True        , 1754398920,      8.07, phi4_tpusg_P              , 42981e86, phi4_3b43_tpusg
ec39_tpusg, tpusg    , phi4  , True      , success,                1,   20.01,         2750,          1806,               944, True        , 1754399000,      8.07, phi4_tpusg_P              , ec39ef3b, phi4_3b43_tpusg
9b17_tpusg, tpusg    , phi4  , True      , success,                1,   20.17,         2756,          1806,               950, True        , 1754399079,      8.07, phi4_tpusg_P              , 9b178a93, phi4_3b43_tpusg
1fe7_tpusg, tpusg    , phi4  , True      , success,                1,   19.75,         2732,          1806,               926, True        , 1754399158,      8.07, phi4_tpusg_P              , 1fe7f8dc, phi4_3b43_tpusg
5f8e_tpusg, tpusg    , phi4  , True      , success,                1,   20.16,         2750,          1806,               944, True        , 1754399238,      8.07, phi4_tpusg_P              , 5f8eb9ed, phi4_3b43_tpusg
04de_tpusg, tpusg    , phi4  , True      , success,                1,   20.16,         2756,          1806,               950, True        , 1754399316,      8.07, phi4_tpusg_P              , 04deea5e, phi4_3b43_tpusg
97d7_tpusg, tpusg    , phi4  , True      , success,                1,   20.98,         2750,          1806,               944, True        , 1754399395,      8.07, phi4_tpusg_P              , 97d74c6f, phi4_3b43_tpusg
e225_tpusg, tpusg    , phi4  , True      , success,                1,   19.86,         2732,          1806,               926, True        , 1754399477,      8.07, phi4_tpusg_P              , e2257b5f, phi4_3b43_tpusg
bc9c_tpusg, tpusg    , phi4  , True      , success,                1,   20.08,         2750,          1806,               944, True        , 1754399555,      8.07, phi4_tpusg_P              , bc9cbdbd, phi4_3b43_tpusg
93c3_tpusg, tpusg    , phi4  , True      , success,                1,   20.21,         2750,          1806,               944, True        , 1754399634,      8.07, phi4_tpusg_P              , 93c3d0f1, phi4_3b43_tpusg
0181_tpusg, tpusg    , phi4  , True      , success,                1,   20.16,         2756,          1806,               950, True        , 1754399713,      8.07, phi4_tpusg_P              , 0181bb76, phi4_3b43_tpusg
54ec_tpusg, tpusg    , phi4  , True      , success,                1,   20.02,         2750,          1806,               944, True        , 1754399792,      8.07, phi4_tpusg_P              , 54ec841a, phi4_3b43_tpusg
7ebd_tpusg, tpusg    , phi4  , True      , success,                1,   20.26,         2756,          1806,               950, True        , 1754399870,      8.07, phi4_tpusg_P              , 7ebdc64c, phi4_3b43_tpusg
2214_pysg , psg      , phi4  , False     , success,                5,  100.12,        14387,          9516,              4871, False       , 1755537381,      8.18, phi4_psg_NP               , 22142ade, phi4_752a_psg
2214_pysg , psg      , phi4  , False     , success,                5,  100.12,        14387,          9516,              4871, False       , 1755537381,      8.2 , phi4_psg_NP               , 22142ade, phi4_394b_psg
c118_pysg , psg      , phi4  , False     , success,                2,   34.0 ,         5279,          3646,              1633, False       , 1755537521,      8.18, phi4_psg_NP               , c1182b40, phi4_c5b0_psg
c118_pysg , psg      , phi4  , False     , success,                2,   34.0 ,         5279,          3646,              1633, False       , 1755537521,      8.2 , phi4_psg_NP               , c1182b40, phi4_989f_psg
61b8_pysg , psg      , phi4  , False     , success,                1,   24.7 ,         2824,          1598,              1226, False       , 1755537595,      8.18, phi4_psg_NP               , 61b8c7b1, phi4_8f5a_psg
61b8_pysg , psg      , phi4  , False     , success,                1,   24.7 ,         2824,          1598,              1226, False       , 1755537595,      8.2 , phi4_psg_NP               , 61b8c7b1, phi4_3356_psg
c942_pysg , psg      , phi4  , False     , failure,                5,   97.01,        14502,          9790,              4712, False       , 1755537659,      8.18, phi4_psg_NP               , c942cbbf, phi4_a477_psg
c942_pysg , psg      , phi4  , False     , failure,                5,   97.01,        14502,          9790,              4712, False       , 1755537659,      8.2 , phi4_psg_NP               , c942cbbf, phi4_d2df_psg
99c0_pysg , psg      , phi4  , False     , success,                3,   53.97,         8307,          5694,              2613, False       , 1755537763,      8.18, phi4_psg_NP               , 99c07c98, phi4_6b34_psg
99c0_pysg , psg      , phi4  , False     , success,                3,   53.97,         8307,          5694,              2613, False       , 1755537763,      8.2 , phi4_psg_NP               , 99c07c98, phi4_d01d_psg
96d6_pysg , psg      , phi4  , False     , success,                3,   59.84,         8606,          5694,              2912, False       , 1755537856,      8.18, phi4_psg_NP               , 96d620bf, phi4_acac_psg
96d6_pysg , psg      , phi4  , False     , success,                3,   59.84,         8606,          5694,              2912, False       , 1755537856,      8.2 , phi4_psg_NP               , 96d620bf, phi4_973d_psg
aab1_pysg , psg      , phi4  , False     , success,                3,   55.88,         8404,          5694,              2710, False       , 1755537957,      8.18, phi4_psg_NP               , aab1691d, phi4_2cd7_psg
aab1_pysg , psg      , phi4  , False     , success,                3,   55.88,         8404,          5694,              2710, False       , 1755537957,      8.2 , phi4_psg_NP               , aab1691d, phi4_c144_psg
b096_pysg , psg      , phi4  , False     , success,                2,   34.89,         5334,          3646,              1688, False       , 1755538055,      8.18, phi4_psg_NP               , b096dd75, phi4_0dd0_psg
b096_pysg , psg      , phi4  , False     , success,                2,   34.89,         5334,          3646,              1688, False       , 1755538055,      8.2 , phi4_psg_NP               , b096dd75, phi4_94b0_psg
4a1f_pysg , psg      , phi4  , False     , success,                2,   30.64,         5115,          3646,              1469, False       , 1755538130,      8.18, phi4_psg_NP               , 4a1faf24, phi4_bfc7_psg
4a1f_pysg , psg      , phi4  , False     , success,                2,   30.64,         5115,          3646,              1469, False       , 1755538130,      8.2 , phi4_psg_NP               , 4a1faf24, phi4_58e2_psg
9516_pysg , psg      , phi4  , False     , failure,                5,  109.43,        15162,          9790,              5372, False       , 1755538200,      8.18, phi4_psg_NP               , 9516c3a7, phi4_20d0_psg
9516_pysg , psg      , phi4  , False     , failure,                5,  109.43,        15162,          9790,              5372, False       , 1755538200,      8.2 , phi4_psg_NP               , 9516c3a7, phi4_41a0_psg
2971_pysg , psg      , phi4  , False     , success,                4,   81.45,        11710,          7742,              3968, False       , 1755538317,      8.18, phi4_psg_NP               , 29716bbd, phi4_a5c1_psg
2971_pysg , psg      , phi4  , False     , success,                4,   81.45,        11710,          7742,              3968, False       , 1755538317,      8.2 , phi4_psg_NP               , 29716bbd, phi4_4038_psg
d0ae_pysg , psg      , phi4  , False     , success,                3,   55.06,         8362,          5694,              2668, False       , 1755538447,      8.18, phi4_psg_NP               , d0ae3e3f, phi4_475f_psg
d0ae_pysg , psg      , phi4  , False     , success,                3,   55.06,         8362,          5694,              2668, False       , 1755538447,      8.2 , phi4_psg_NP               , d0ae3e3f, phi4_e30f_psg
cf1a_pysg , psg      , phi4  , False     , success,                4,   80.95,        11420,          7468,              3952, False       , 1755538542,      8.18, phi4_psg_NP               , cf1ad13b, phi4_bb27_psg
cf1a_pysg , psg      , phi4  , False     , success,                4,   80.95,        11420,          7468,              3952, False       , 1755538542,      8.2 , phi4_psg_NP               , cf1ad13b, phi4_d4a5_psg
150c_pysg , psg      , phi4  , False     , success,                2,   35.86,         5384,          3646,              1738, False       , 1755538663,      8.18, phi4_psg_NP               , 150c8e39, phi4_b53c_psg
150c_pysg , psg      , phi4  , False     , success,                2,   35.86,         5384,          3646,              1738, False       , 1755538663,      8.2 , phi4_psg_NP               , 150c8e39, phi4_21b9_psg
6679_pysg , psg      , phi4  , False     , success,                3,   54.55,         8331,          5694,              2637, False       , 1755538738,      8.18, phi4_psg_NP               , 6679f9ec, phi4_a45c_psg
6679_pysg , psg      , phi4  , False     , success,                3,   54.55,         8331,          5694,              2637, False       , 1755538738,      8.2 , phi4_psg_NP               , 6679f9ec, phi4_b4e8_psg
91ac_pysg , psg      , phi4  , False     , success,                1,   14.03,         2268,          1598,               670, False       , 1755538831,      8.18, phi4_psg_NP               , 91acf371, phi4_6e03_psg
91ac_pysg , psg      , phi4  , False     , success,                1,   14.03,         2268,          1598,               670, False       , 1755538831,      8.2 , phi4_psg_NP               , 91acf371, phi4_f219_psg
e813_pysg , psg      , phi4  , False     , success,                2,   35.8 ,         5379,          3646,              1733, False       , 1755538883,      8.18, phi4_psg_NP               , e813dc53, phi4_5ba3_psg
e813_pysg , psg      , phi4  , False     , success,                2,   35.8 ,         5379,          3646,              1733, False       , 1755538883,      8.2 , phi4_psg_NP               , e813dc53, phi4_656e_psg
e8e8_pysg , psg      , phi4  , False     , success,                3,   59.36,         8591,          5694,              2897, False       , 1755538958,      8.18, phi4_psg_NP               , e8e83bab, phi4_b7e4_psg
e8e8_pysg , psg      , phi4  , False     , success,                3,   59.36,         8591,          5694,              2897, False       , 1755538958,      8.2 , phi4_psg_NP               , e8e83bab, phi4_a0d1_psg
2995_pysg , psg      , phi4  , False     , success,                2,   31.94,         5182,          3646,              1536, False       , 1755539036,      8.18, phi4_psg_NP               , 29950393, phi4_a9e2_psg
2995_pysg , psg      , phi4  , False     , success,                2,   31.94,         5182,          3646,              1536, False       , 1755539036,      8.2 , phi4_psg_NP               , 29950393, phi4_754b_psg
8be2_pysg , psg      , phi4  , False     , success,                2,   33.45,         5259,          3646,              1613, False       , 1755539105,      8.18, phi4_psg_NP               , 8be299b4, phi4_d49a_psg
8be2_pysg , psg      , phi4  , False     , success,                2,   33.45,         5259,          3646,              1613, False       , 1755539105,      8.2 , phi4_psg_NP               , 8be299b4, phi4_ffeb_psg
8511_pysg , psg      , phi4  , False     , success,                1,   14.85,         2306,          1598,               708, False       , 1755539177,      8.18, phi4_psg_NP               , 85116bfc, phi4_6123_psg
8511_pysg , psg      , phi4  , False     , success,                1,   14.85,         2306,          1598,               708, False       , 1755539177,      8.2 , phi4_psg_NP               , 85116bfc, phi4_8672_psg
9618_pysg , psg      , phi4  , False     , success,                5,   80.47,        13625,          9790,              3835, False       , 1755539229,      8.18, phi4_psg_NP               , 96185975, phi4_b58e_psg
9618_pysg , psg      , phi4  , False     , success,                5,   80.47,        13625,          9790,              3835, False       , 1755539229,      8.2 , phi4_psg_NP               , 96185975, phi4_e4b3_psg
b0cf_pysg , psg      , phi4  , False     , success,                4,   73.92,        11315,          7742,              3573, False       , 1755539348,      8.18, phi4_psg_NP               , b0cf27ad, phi4_b4f2_psg
b0cf_pysg , psg      , phi4  , False     , success,                4,   73.92,        11315,          7742,              3573, False       , 1755539348,      8.2 , phi4_psg_NP               , b0cf27ad, phi4_7e10_psg
c852_pysg , psg      , phi4  , False     , success,                5,  105.51,        14955,          9790,              5165, False       , 1755539460,      8.18, phi4_psg_NP               , c8521c11, phi4_1d03_psg
c852_pysg , psg      , phi4  , False     , success,                5,  105.51,        14955,          9790,              5165, False       , 1755539460,      8.2 , phi4_psg_NP               , c8521c11, phi4_bcc9_psg
fefb_pysg , psg      , phi4  , False     , success,                5,   85.9 ,        13916,          9790,              4126, False       , 1755539605,      8.18, phi4_psg_NP               , fefbe46b, phi4_ae9d_psg
fefb_pysg , psg      , phi4  , False     , success,                5,   85.9 ,        13916,          9790,              4126, False       , 1755539605,      8.2 , phi4_psg_NP               , fefbe46b, phi4_82c5_psg
a4e0_pysg , psg      , phi4  , False     , success,                1,   16.46,         2393,          1598,               795, False       , 1755539715,      8.18, phi4_psg_NP               , a4e075e1, phi4_3711_psg
a4e0_pysg , psg      , phi4  , False     , success,                1,   16.46,         2393,          1598,               795, False       , 1755539715,      8.2 , phi4_psg_NP               , a4e075e1, phi4_cd6c_psg
8bdb_pysg , psg      , phi4  , False     , failure,                5,   99.26,        14413,          9575,              4838, False       , 1755539770,      8.18, phi4_psg_NP               , 8bdbaadb, phi4_c0d9_psg
8bdb_pysg , psg      , phi4  , False     , failure,                5,   99.26,        14413,          9575,              4838, False       , 1755539770,      8.2 , phi4_psg_NP               , 8bdbaadb, phi4_101a_psg
0b43_pysg , psg      , phi4  , False     , success,                3,   51.03,         8148,          5694,              2454, False       , 1755539880,      8.18, phi4_psg_NP               , 0b432495, phi4_d21b_psg
0b43_pysg , psg      , phi4  , False     , success,                3,   51.03,         8148,          5694,              2454, False       , 1755539880,      8.2 , phi4_psg_NP               , 0b432495, phi4_2700_psg
c943_pysg , psg      , phi4  , False     , success,                1,   17.34,         2426,          1598,               828, False       , 1755539969,      8.18, phi4_psg_NP               , c94377c4, phi4_5133_psg
c943_pysg , psg      , phi4  , False     , success,                1,   17.34,         2426,          1598,               828, False       , 1755539969,      8.2 , phi4_psg_NP               , c94377c4, phi4_29a2_psg
376c_pysg , psg      , phi4  , False     , failure,                5,   94.29,        14168,          9596,              4572, False       , 1755540024,      8.18, phi4_psg_NP               , 376c717a, phi4_cd83_psg
376c_pysg , psg      , phi4  , False     , failure,                5,   94.29,        14168,          9596,              4572, False       , 1755540024,      8.2 , phi4_psg_NP               , 376c717a, phi4_36cf_psg
a6b3_tpusg, tpusg    , phi4  , False     , success,                2,   38.43,         5711,          3854,              1857, False       , 1755534322,      8.18, phi4_tpusg_NP             , a6b3d80c, phi4_4458_tpusg
a6b3_tpusg, tpusg    , phi4  , False     , success,                2,   38.43,         5711,          3854,              1857, False       , 1755534322,      8.2 , phi4_tpusg_NP             , a6b3d80c, phi4_0122_tpusg
b5e3_tpusg, tpusg    , phi4  , False     , success,                1,   16.72,         2605,          1806,               799, False       , 1755534428,      8.18, phi4_tpusg_NP             , b5e3e32f, phi4_3f0d_tpusg
b5e3_tpusg, tpusg    , phi4  , False     , success,                1,   16.72,         2605,          1806,               799, False       , 1755534428,      8.2 , phi4_tpusg_NP             , b5e3e32f, phi4_ea93_tpusg
b860_tpusg, tpusg    , phi4  , False     , success,                2,   41.01,         5850,          3854,              1996, False       , 1755534503,      8.18, phi4_tpusg_NP             , b860ea2b, phi4_9d83_tpusg
b860_tpusg, tpusg    , phi4  , False     , success,                2,   41.01,         5850,          3854,              1996, False       , 1755534503,      8.2 , phi4_tpusg_NP             , b860ea2b, phi4_5bf9_tpusg
cfa4_tpusg, tpusg    , phi4  , False     , success,                2,   37.54,         5658,          3854,              1804, False       , 1755534607,      8.18, phi4_tpusg_NP             , cfa493f2, phi4_0d41_tpusg
cfa4_tpusg, tpusg    , phi4  , False     , success,                2,   37.54,         5658,          3854,              1804, False       , 1755534607,      8.2 , phi4_tpusg_NP             , cfa493f2, phi4_7b6f_tpusg
4321_tpusg, tpusg    , phi4  , False     , success,                2,   40.61,         5818,          3854,              1964, False       , 1755534711,      8.18, phi4_tpusg_NP             , 4321629e, phi4_bee6_tpusg
4321_tpusg, tpusg    , phi4  , False     , success,                2,   40.61,         5818,          3854,              1964, False       , 1755534711,      8.2 , phi4_tpusg_NP             , 4321629e, phi4_73d4_tpusg
83db_tpusg, tpusg    , phi4  , False     , success,                1,   19.84,         2767,          1806,               961, False       , 1755534820,      8.18, phi4_tpusg_NP             , 83db3009, phi4_850d_tpusg
83db_tpusg, tpusg    , phi4  , False     , success,                1,   19.84,         2767,          1806,               961, False       , 1755534820,      8.2 , phi4_tpusg_NP             , 83db3009, phi4_c828_tpusg
e3df_tpusg, tpusg    , phi4  , False     , success,                5,  101.09,        14826,          9909,              4917, False       , 1755534899,      8.18, phi4_tpusg_NP             , e3dfb98e, phi4_ac3b_tpusg
e3df_tpusg, tpusg    , phi4  , False     , success,                5,  101.09,        14826,          9909,              4917, False       , 1755534899,      8.2 , phi4_tpusg_NP             , e3dfb98e, phi4_2dd1_tpusg
81b4_tpusg, tpusg    , phi4  , False     , success,                1,   16.88,         2612,          1806,               806, False       , 1755535081,      8.18, phi4_tpusg_NP             , 81b4f741, phi4_c7ca_tpusg
81b4_tpusg, tpusg    , phi4  , False     , success,                1,   16.88,         2612,          1806,               806, False       , 1755535081,      8.2 , phi4_tpusg_NP             , 81b4f741, phi4_ed03_tpusg
ee82_tpusg, tpusg    , phi4  , False     , success,                1,   18.28,         2686,          1806,               880, False       , 1755535157,      8.18, phi4_tpusg_NP             , ee8202a6, phi4_c514_tpusg
ee82_tpusg, tpusg    , phi4  , False     , success,                1,   18.28,         2686,          1806,               880, False       , 1755535157,      8.2 , phi4_tpusg_NP             , ee8202a6, phi4_caed_tpusg
121f_tpusg, tpusg    , phi4  , False     , success,                2,   38.69,         5728,          3854,              1874, False       , 1755535235,      8.18, phi4_tpusg_NP             , 121f20a3, phi4_ab8d_tpusg
121f_tpusg, tpusg    , phi4  , False     , success,                2,   38.69,         5728,          3854,              1874, False       , 1755535235,      8.2 , phi4_tpusg_NP             , 121f20a3, phi4_def4_tpusg
dd8e_tpusg, tpusg    , phi4  , False     , success,                1,   20.54,         2807,          1806,              1001, False       , 1755535342,      8.18, phi4_tpusg_NP             , dd8e89bc, phi4_b0dd_tpusg
dd8e_tpusg, tpusg    , phi4  , False     , success,                1,   20.54,         2807,          1806,              1001, False       , 1755535342,      8.2 , phi4_tpusg_NP             , dd8e89bc, phi4_b4c7_tpusg
1d5c_tpusg, tpusg    , phi4  , False     , success,                1,   20.64,         2813,          1806,              1007, False       , 1755535421,      8.18, phi4_tpusg_NP             , 1d5cf198, phi4_227e_tpusg
1d5c_tpusg, tpusg    , phi4  , False     , success,                1,   20.64,         2813,          1806,              1007, False       , 1755535421,      8.2 , phi4_tpusg_NP             , 1d5cf198, phi4_e60b_tpusg
2167_tpusg, tpusg    , phi4  , False     , failure,                5,  131.27,        16519,          9998,              6521, False       , 1755535501,      8.18, phi4_tpusg_NP             , 21676f84, phi4_6e05_tpusg
2167_tpusg, tpusg    , phi4  , False     , failure,                5,  131.27,        16519,          9998,              6521, False       , 1755535501,      8.2 , phi4_tpusg_NP             , 21676f84, phi4_2d72_tpusg
02dd_tpusg, tpusg    , phi4  , False     , success,                2,   46.59,         6148,          3854,              2294, False       , 1755535678,      8.18, phi4_tpusg_NP             , 02ddc4db, phi4_6047_tpusg
02dd_tpusg, tpusg    , phi4  , False     , success,                2,   46.59,         6148,          3854,              2294, False       , 1755535678,      8.2 , phi4_tpusg_NP             , 02ddc4db, phi4_a25c_tpusg
2947_tpusg, tpusg    , phi4  , False     , success,                2,   39.81,         5782,          3854,              1928, False       , 1755535792,      8.18, phi4_tpusg_NP             , 29474ff9, phi4_74a5_tpusg
2947_tpusg, tpusg    , phi4  , False     , success,                2,   39.81,         5782,          3854,              1928, False       , 1755535792,      8.2 , phi4_tpusg_NP             , 29474ff9, phi4_c33e_tpusg
35ae_tpusg, tpusg    , phi4  , False     , success,                5,  107.2 ,        15157,          9908,              5249, False       , 1755535899,      8.18, phi4_tpusg_NP             , 35ae5126, phi4_6c44_tpusg
35ae_tpusg, tpusg    , phi4  , False     , success,                5,  107.2 ,        15157,          9908,              5249, False       , 1755535899,      8.2 , phi4_tpusg_NP             , 35ae5126, phi4_2d77_tpusg
36b6_tpusg, tpusg    , phi4  , False     , success,                1,   17.52,         2646,          1806,               840, False       , 1755536084,      8.18, phi4_tpusg_NP             , 36b6d2df, phi4_4a51_tpusg
36b6_tpusg, tpusg    , phi4  , False     , success,                1,   17.52,         2646,          1806,               840, False       , 1755536084,      8.2 , phi4_tpusg_NP             , 36b6d2df, phi4_59e0_tpusg
f7ee_tpusg, tpusg    , phi4  , False     , success,                1,   18.64,         2706,          1806,               900, False       , 1755536160,      8.18, phi4_tpusg_NP             , f7ee6d7c, phi4_18a4_tpusg
f7ee_tpusg, tpusg    , phi4  , False     , success,                1,   18.64,         2706,          1806,               900, False       , 1755536160,      8.2 , phi4_tpusg_NP             , f7ee6d7c, phi4_7fa7_tpusg
2d66_tpusg, tpusg    , phi4  , False     , success,                1,   14.7 ,         2499,          1806,               693, False       , 1755536237,      8.18, phi4_tpusg_NP             , 2d663362, phi4_adaf_tpusg
